Variables,Cx,Ci,Ca,Cf,Cu,PF,TFR (Survey),TFR (Bongaarts)
Aggregate,,,,,,,,
National,0.7,0.59,0.94,0.81,0.85,21,5.65,5.65
Education,,,,,,,,
No education,0.83,0.56,0.95,0.73,0.93,21.78,6.71,6.47
Primary,0.69,0.61,0.95,0.83,0.76,25.19,6.32,5.27
Secondary/Higher,0.56,0.75,0.91,0.91,0.6,20.12,4.24,4.43
Residence,,,,,,,,
Urban,0.66,0.64,0.93,0.82,0.65,23.12,4.86,4.41
Rural,0.73,0.57,0.95,0.8,0.82,23.58,6.07,5.41
Wealth quintile,,,,,,,,
Lowest,0.77,0.54,0.95,0.77,0.86,24.62,6.52,5.56
Second,0.77,0.56,0.95,0.78,0.87,22.76,6.3,5.81
Middle,0.69,0.57,0.95,0.79,0.84,23.28,5.7,5.14
Fourth,0.66,0.64,0.94,0.82,0.74,24.19,5.85,5.08
Highest,0.64,0.77,0.91,0.88,0.58,18.46,4.21,4.79
Workforce,,,,,,,,
In workforce,0.77,0.59,0.95,0.79,0.73,23.23,5.78,5.23
Not in workforce,0.61,0.6,0.94,0.83,0.8,25.04,5.74,4.81
Regions,,,,,,,,
North Central,0.6,0.53,0.95,0.81,0.71,32.48,5.7,3.69
North East,0.77,0.57,0.96,0.79,0.91,23.14,7.03,6.38
North West,0.87,0.59,0.95,0.78,0.93,18.66,6.69,7.53
South East,0.56,0.63,0.92,0.78,0.71,23.16,4.11,3.73
South South,0.63,0.72,0.92,0.84,0.58,23.13,4.63,4.2
South West,0.56,0.65,0.92,1,0.49,25.2,4.12,3.43
